"81";"CHHATTISGARH";"Bhilai Nagar";"625697";"487242";"942";""
"82";"CHHATTISGARH";"Raipur";"1010087";"769593";"945";""
"83";"CHHATTISGARH";"Jagdalpur";"125345";"95303";"961";""
"84";"GUJARAT";"Ahmadabad";"5570585";"4464303";"897";""
"85";"GUJARAT";"Kalol";"112126";"88768";"888";""
"86";"GUJARAT";"Gandhinagar";"208299";"177510";"903";""
"87";"GUJARAT";"Bhuj";"147123";"114822";"889";""
"88";"GUJARAT";"Gandhidham";"248705";"181253";"879";""
"89";"GUJARAT";"Palanpur";"127125";"97459";"915";""
"90";"GUJARAT";"Deesa";"111149";"78219";"893";""
"91";"GUJARAT";"Patan";"125502";"99129";"912";""
"92";"GUJARAT";"Mahesana";"184133";"151773";"894";""
"93";"GUJARAT";"Surendranagar Dudhrej";"177827";"135879";"918";""
"94";"GUJARAT";"Morvi";"188278";"140779";"924";""
"95";"GUJARAT";"Rajkot";"1286995";"1026040";"905";""
"96";"GUJARAT";"Gondal";"112064";"86139";"918";""
"97";"GUJARAT";"Jetpur Navagadh";"118550";"89110";"902";""
"98";"GUJARAT";"Jamnagar";"529308";"394919";"916";""
"99";"GUJARAT";"Porbandar";"152136";"119545";"938";""
"100";"GUJARAT";"Veraval";"153696";"106540";"966";""
"101";"GUJARAT";"Junagadh";"320250";"259563";"952";""
"102";"GUJARAT";"Amreli";"105980";"85975";"921";""
"103";"GUJARAT";"Bhavnagar";"593768";"455242";"919";""
"104";"GUJARAT";"Botad";"130302";"94563";"922";""
"105";"GUJARAT";"Anand";"197351";"166211";"928";""
"106";"GUJARAT";"Nadiad";"218150";"174931";"941";""
"107";"GUJARAT";"Godhra";"143126";"111571";"938";""
"108";"GUJARAT";"Vadodara";"1666703";"1394952";"923";""
"109";"GUJARAT";"Bharuch";"168729";"133796";"942";""
"110";"GUJARAT";"Navsari";"160100";"128822";"931";""
"111";"GUJARAT";"Valsad";"114987";"97687";"950";""
"112";"GUJARAT";"Surat";"4462002";"3499228";"758";"TRUE"
"113";"HARYANA";"Panchkula";"210175";"165235";"883";""
"114";"HARYANA";"Ambala Sadar";"104268";"83236";"922";""
"115";"HARYANA";"Ambala";"196216";"155780";"895";""
"116";"HARYANA";"Yamunanagar";"216628";"166419";"877";""
"117";"HARYANA";"Jagadhri";"124915";"95469";"844";""
"118";"HARYANA";"Thanesar";"154962";"119482";"852";""
"119";"HARYANA";"Kaithal";"144633";"103329";"887";""
"120";"HARYANA";"Karnal";"286974";"220711";"892";""
"121";"HARYANA";"Panipat";"294150";"218023";"870";""
"122";"HARYANA";"Sonipat";"277053";"215609";"873";""
"123";"HARYANA";"Jind";"166225";"123267";"877";""
"124";"HARYANA";"Sirsa";"183282";"135435";"893";""
"125";"HARYANA";"Hisar";"301249";"216978";"844";""
"126";"HARYANA";"Bhiwani";"197662";"147807";"876";""
"127";"HARYANA";"Rohtak";"373133";"279509";"887";""
"128";"HARYANA";"Bahadurgarh";"170426";"132108";"858";""
"129";"HARYANA";"Rewari";"140864";"110205";"886";""
"130";"HARYANA";"Gurgaon";"876824";"662969";"844";""
"131";"HARYANA";"Faridabad";"1404653";"1042168";"872";""
"132";"HARYANA";"Palwal";"127931";"90937";"884";""
"133";"HIMACHAL PRADESH";"Shimla";"169758";"147799";"818";""
"134";"JAMMU & KASHMIR";"Srinagar";"1192792";"741441";"888";""
"135";"JAMMU & KASHMIR";"Anantnag";"108505";"71408";"937";""
"136";"JAMMU & KASHMIR";"Jammu";"503690";"413366";"898";""
"137";"JHARKHAND";"Giridih";"114447";"84897";"910";""
"138";"JHARKHAND";"Deoghar";"203116";"153807";"876";""
"139";"JHARKHAND";"Dhanbad";"1161561";"820008";"887";""
"140";"JHARKHAND";"Bokaro Steel City";"413934";"310127";"881";""
"141";"JHARKHAND";"Chas";"141618";"105417";"888";""
"142";"JHARKHAND";"Jamshedpur";"629659";"494893";"920";""
"143";"JHARKHAND";"Mango";"224002";"169548";"927";""
"144";"JHARKHAND";"Hazaribag";"142494";"113693";"919";""
"145";"JHARKHAND";"Ranchi";"1073440";"841652";"920";""
"146";"JHARKHAND";"Aditya";"173988";"125985";"902";""
"147";"KARNATAKA";"Belgaum";"488292";"396736";"982";""
"148";"KARNATAKA";"Bagalkot";"112068";"85860";"972";""
"149";"KARNATAKA";"Bijapur";"326360";"239631";"976";""
"150";"KARNATAKA";"Bidar";"211944";"163781";"937";""
"151";"KARNATAKA";"Raichur";"232456";"158452";"980";""
"152";"KARNATAKA";"Gangawati";"105354";"70630";"1000";""
"153";"KARNATAKA";"Gadag-Betigeri";"172813";"132094";"1006";""
"154";"KARNATAKA";"Hubli-Dharwad";"943857";"736506";"983";""
"155";"KARNATAKA";"Ranibennur";"106365";"85298";"972";""
